timestamp,open,high,low,close,volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency,hour,minute,ticker,si_current_price,si_market_cap,si_pe_trailing,si_pe_forward,si_beta,si_dividend_yield,si_dividend_rate,si_payout_ratio,si_52w_low,si_52w_high,si_employees,si_book_value,si_price_to_book,si_profit_margin,si_roa,si_roe,si_revenue_per_share,si_total_cash,si_total_debt,si_total_revenue,si_ebitda,si_gross_margins,si_operating_margins,si_debt_to_equity,si_quick_ratio,si_current_ratio,si_inst_pct,si_insider_pct,si_short_ratio,si_shares_outstanding,si_float_shares,si_target_mean,si_target_high,si_target_low,si_recommendation_mean,si_num_analysts,inc_total_revenue,inc_cost_of_revenue,inc_gross_profit,inc_operating_income,inc_net_income,inc_diluted_eps,inc_basic_eps,inc_rd,inc_sga,inc_tax_provision,inc_pretax_income,inc_ebitda,inc_ebit,inc_norm_ebitda,inc_norm_income,inc_depreciation,inc_diluted_shares,inc_basic_shares,bs_total_assets,bs_total_liabilities,bs_stockholders_equity,bs_total_debt,bs_net_debt,bs_cash,bs_cash_short_inv,bs_inventory,bs_receivables,bs_net_ppe,bs_gross_ppe,bs_accum_depreciation,bs_goodwill,bs_intangible_assets,bs_long_term_debt,bs_current_liabilities,bs_current_assets,bs_working_capital,bs_retained_earnings,bs_common_stock,bs_capital_stock,bs_total_equity,bs_tangible_book_value,bs_invested_capital,bs_total_capitalization,cf_operating,cf_free,cf_capex,cf_dividends_paid,cf_stock_repurchases,cf_financing,cf_investing,cf_net_change,cf_end_cash,cf_begin_cash,cf_stock_comp,cf_depreciation,cf_deferred_tax,cf_net_income_ops,cf_change_wc,cf_issuance_debt,cf_repayment_debt,rec_strong_buy,rec_buy,rec_hold,rec_sell,rec_strong_sell,news_count,news_latest_headline
2026-07-23 17:30:00+00:00,258.1099853516,258.2600097656,258.0600891113,258.1900024414,41085,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,17,30,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 17:35:00+00:00,258.1799926758,258.3999938965,258.1400146484,258.3999938965,46987,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,17,35,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 17:40:00+00:00,258.4299926758,258.4800109863,258.1600036621,258.3550109863,35867,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,17,40,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 17:45:00+00:00,258.3550109863,258.5881958008,258.3550109863,258.5150146484,39110,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,17,45,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 17:50:00+00:00,258.5400085449,258.575012207,258.450012207,258.5,29469,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,17,50,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 17:55:00+00:00,258.5100097656,258.5599975586,258.2799987793,258.3299865723,51565,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,17,55,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:00:00+00:00,258.3525085449,258.4599914551,258.25,258.2510070801,35296,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,0,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:05:00+00:00,258.2850036621,258.5100097656,258.2850036621,258.4400024414,43912,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,5,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:10:00+00:00,258.4349975586,258.4800109863,258.2300109863,258.3699951172,38550,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,10,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:15:00+00:00,258.3699951172,258.5599975586,258.3299865723,258.5150146484,41867,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,15,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:20:00+00:00,258.5150146484,258.6549987793,258.4700012207,258.5700073242,41681,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,20,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:25:00+00:00,258.575012207,258.7699890137,258.4599914551,258.7600097656,40573,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,25,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:30:00+00:00,258.7600097656,258.8599853516,258.6400146484,258.6549987793,46882,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,30,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:35:00+00:00,258.6099853516,258.6449890137,258.3550109863,258.4599914551,38211,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,35,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:40:00+00:00,258.4100036621,258.549987793,258.3200073242,258.549987793,73327,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,40,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:45:00+00:00,258.5700073242,258.6099853516,258.3699951172,258.450012207,54874,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,45,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:50:00+00:00,258.450012207,258.5,258.2699890137,258.4299926758,42908,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,50,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 18:55:00+00:00,258.3900146484,258.6890258789,258.3399963379,258.6199951172,56579,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,18,55,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-07-23 19:00:00+00:00,258.6199951172,258.950012207,258.5799865723,258.950012207,41266,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,19,0,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
